17.3245  1-25-31-7-3-34-6-18-12-11-28-16-30-15-10-20-32-33-22-21-26-13-4-27-29-5-2-8-24-17-19-14-23-9-1
17.3637  1-34-9-13-7-17-14-30-29-8-21-19-23-16-12-22-33-25-20-18-26-27-32-6-11-28-4-3-10-15-31-24-5-2-1
16.2253  1-24-8-19-20-34-25-32-9-13-3-2-14-30-17-18-27-16-5-28-10-6-12-15-31-7-33-4-26-22-29-11-23-21-1
16.2253  1-24-8-19-20-34-25-32-9-13-3-2-14-30-17-18-27-16-5-28-10-6-12-15-31-7-33-4-26-22-29-11-23-21-1
16.2253  1-24-8-19-20-34-25-32-9-13-3-2-14-30-17-18-27-16-5-28-10-6-12-15-31-7-33-4-26-22-29-11-23-21-1
16.2253  1-24-8-19-20-34-25-32-9-13-3-2-14-30-17-18-27-16-5-28-10-6-12-15-31-7-33-4-26-22-29-11-23-21-1
15.8153  1-24-8-19-20-34-25-32-9-13-3-2-14-30-17-18-27-16-5-28-10-6-12-15-31-7-33-4-26-22-11-29-23-21-1
15.722  1-24-8-19-20-34-25-32-9-13-3-2-14-30-17-18-27-5-16-28-10-6-12-15-31-7-33-4-26-22-11-29-23-21-1
15.722  1-24-8-19-20-34-25-32-9-13-3-2-14-30-17-18-27-5-16-28-10-6-12-15-31-7-33-4-26-22-11-29-23-21-1
15.0625  1-2-14-30-17-18-27-5-16-28-10-24-8-19-20-34-25-32-9-13-3-6-12-15-31-7-33-4-26-22-11-29-23-21-1
14.8326  1-10-28-16-5-27-18-17-30-14-2-24-8-19-20-34-25-32-9-13-3-6-12-15-31-7-33-4-26-22-11-29-23-21-1
14.8114  1-14-2-30-17-18-27-5-16-28-10-24-8-19-20-34-25-32-9-13-3-6-12-15-31-7-33-4-26-22-11-29-23-21-1
14.4666  1-17-30-14-2-24-8-19-15-31-7-33-4-26-22-11-20-34-25-32-9-13-3-6-12-10-28-16-5-27-18-29-21-23-1
14.2459  1-2-24-8-19-10-28-16-5-27-18-17-30-14-20-34-25-32-9-13-3-6-12-15-31-7-33-4-26-22-11-29-23-21-1
14.1578  1-2-24-8-19-10-28-16-5-27-18-17-30-14-20-34-25-32-9-13-3-6-12-15-31-33-7-4-26-22-11-29-23-21-1
14.1578  1-2-24-8-19-10-28-16-5-27-18-17-30-14-20-34-25-32-9-13-3-6-12-15-31-33-7-4-26-22-11-29-23-21-1
14.1578  1-2-24-8-19-10-28-16-5-27-18-17-30-14-20-34-25-32-9-13-3-6-12-15-31-33-7-4-26-22-11-29-23-21-1
13.8532  1-2-24-8-19-10-28-16-5-27-18-17-30-14-20-34-25-32-9-13-3-6-12-15-31-33-4-7-26-22-11-29-23-21-1
13.8448  1-8-19-10-28-16-5-27-18-17-2-24-30-14-20-34-25-32-9-13-3-6-12-15-31-33-4-7-26-22-11-29-23-21-1
13.4338  1-15-12-31-33-7-4-24-2-8-19-10-28-16-5-27-18-17-30-14-20-34-25-32-9-13-3-6-26-22-11-29-23-21-1
13.0465  1-14-20-34-25-32-9-13-3-6-12-8-19-10-28-16-5-27-18-17-30-24-2-15-31-33-4-7-26-22-11-29-23-21-1
12.7485  1-15-2-24-8-19-10-16-28-5-27-18-17-30-14-20-34-25-32-9-13-3-6-12-31-33-4-7-26-22-11-29-23-21-1
12.1201  1-15-2-24-8-19-10-16-28-5-27-18-17-30-14-20-34-25-32-9-13-3-6-12-33-31-4-7-26-22-11-29-23-21-1
12.0872  1-15-2-24-8-19-10-16-28-5-27-18-17-30-14-20-34-25-32-9-13-3-6-12-31-4-33-7-26-22-11-29-23-21-1
12.0872  1-15-2-24-8-19-10-16-28-5-27-18-17-30-14-20-34-25-32-9-13-3-6-12-31-4-33-7-26-22-11-29-23-21-1
11.7142  1-10-19-8-14-20-34-25-32-9-3-13-12-6-28-16-5-27-18-17-30-24-2-15-31-33-4-7-26-22-11-29-23-21-1
11.0529  1-10-19-8-14-20-34-25-32-9-3-13-12-6-28-16-5-27-18-17-30-24-2-15-31-4-33-7-26-22-11-29-23-21-1
