           1   0.0507892   0.0507892           0
           2   0.0503968    0.050593 0.000138722
           3   0.0494425   0.0502095 0.000326493
           4   0.0501114    0.050185 0.000245788
           5   0.0493587   0.0500197 0.000245992
           6   0.0501124   0.0500352 0.000205478
           7   0.0507086   0.0501314 0.000197365
           8   0.0503902   0.0501637 0.000175326
           9   0.0506996   0.0502233 0.000165646
          10   0.0497585   0.0501768 0.000155464
          11   0.0505909   0.0502144 0.000145816
          12   0.0501059   0.0502054 0.000133945
          13   0.0492376    0.050131 0.000142839
          14   0.0502689   0.0501408 0.000132975
          15   0.0497549   0.0501151 0.000126575
          16   0.0492484   0.0500609 0.000129738
          17   0.0502048   0.0500694 0.000122382
          18   0.0494699   0.0500361 0.000120029
          19   0.0489055   0.0499766 0.000127611
          20   0.0501867   0.0499871 0.000121663
