Temp            mu         sigma        energy           err
0.04      0.687147      0.622333     -0.402115   0.000712625
0.0395      0.691287      0.583614     -0.394922   0.000906316
0.039       0.73102      0.645177     -0.424062   0.000809376
0.0385      0.832986      0.658538     -0.425899     0.0012568
0.038      0.785736      0.662894     -0.429116    0.00121325
0.0375      0.859138      0.676991      -0.40306      0.001543
0.037      0.859138      0.676991     -0.401194    0.00161028
0.0365      0.801279      0.560544     -0.413482    0.00108095
0.036      0.798426      0.684179     -0.415982    0.00132052
0.0355      0.798426      0.684179     -0.415431    0.00124192
0.035      0.798426      0.684179     -0.415711    0.00137018
0.0345      0.715682      0.614095     -0.418675   0.000755242
0.034      0.762053      0.664616     -0.425909   0.000916805
0.0335      0.762053      0.664616     -0.426843    0.00112988
0.033      0.847055      0.611645     -0.436403   0.000883208
0.0325      0.847055      0.611645     -0.435394   0.000992177
0.032      0.868685      0.684998     -0.384051    0.00178217
0.0315      0.868685      0.684998     -0.388045    0.00189813
0.031      0.868685      0.684998     -0.383519    0.00166131
0.0305       0.74786      0.574236     -0.421912   0.000916591
0.03       0.74786      0.574236      -0.42306   0.000945789
0.0295       0.74786      0.574236     -0.421793    0.00091245
0.029       0.74786      0.574236     -0.420546   0.000872059
0.0285       0.74786      0.574236     -0.421659    0.00106236
0.028       0.74786      0.574236     -0.420716   0.000873952
0.0275       0.74786      0.574236     -0.419649   0.000999672
0.027      0.800292      0.554043     -0.409441    0.00120683
0.0265      0.800292      0.554043     -0.409119    0.00114436
0.026      0.845924      0.630184     -0.435414   0.000859035
0.0255      0.845924      0.630184     -0.433599    0.00109357
0.025      0.845924      0.630184     -0.432552    0.00104277
0.0245      0.845924      0.630184     -0.433591      0.001113
0.024      0.845924      0.630184     -0.434227    0.00100144
0.0235      0.845924      0.630184     -0.435109   0.000916386
0.023      0.845924      0.630184     -0.432581     0.0011234
0.0225      0.845924      0.630184     -0.432636    0.00109456
0.022      0.845786       0.68883     -0.395975    0.00186621
0.0215      0.845019      0.576632      -0.42109   0.000988091
0.021      0.845019      0.576632     -0.422299   0.000888287
0.0205      0.845019      0.576632     -0.423579    0.00111198
0.02      0.808201      0.677322     -0.419005    0.00131808
0.0195      0.808201      0.677322     -0.420783     0.0013393
0.019      0.808201      0.677322     -0.421538    0.00122554
0.0185      0.808201      0.677322     -0.421396    0.00132663
0.018      0.808201      0.677322     -0.418333    0.00152319
0.0175      0.808201      0.677322     -0.418802    0.00145038
0.017      0.841803      0.680599     -0.407723    0.00165855
0.0165      0.830269      0.674524     -0.415064    0.00155487
0.016      0.830269      0.674524     -0.417302    0.00131352
0.0155      0.830269      0.674524     -0.416409    0.00152327
0.015      0.757196      0.673512     -0.423143    0.00122625
0.0145      0.757196      0.673512     -0.420026    0.00114953
0.014      0.798697      0.647886     -0.436773    0.00110185
0.0135      0.798697      0.647886      -0.43467    0.00111002
0.013      0.798697      0.647886     -0.435872    0.00108139
0.0125      0.798697      0.647886     -0.436475    0.00106116
0.012      0.748002      0.626735     -0.433732   0.000749974
0.0115      0.748002      0.626735     -0.435698   0.000739995
0.011       0.79679      0.593115     -0.440178   0.000823581
0.0105       0.79679      0.593115     -0.440248   0.000772834
0.01       0.79679      0.593115     -0.441159   0.000732298
0.0095       0.79679      0.593115     -0.439652   0.000802418
0.009      0.762162       0.60651     -0.439256   0.000713891
0.0085      0.796071      0.582184     -0.434767   0.000900901
0.008      0.796071      0.582184     -0.436518   0.000936598
0.0075      0.796071      0.582184     -0.434233   0.000901709
0.007      0.839916      0.592555     -0.433367    0.00088911
0.0065      0.839916      0.592555     -0.434494   0.000836112
0.006      0.839916      0.592555     -0.433643   0.000764314
0.0055      0.839916      0.592555      -0.43389   0.000893287
0.005      0.839916      0.592555      -0.43492   0.000843209
0.0045      0.839916      0.592555     -0.434523   0.000956494
0.004      0.839916      0.592555     -0.433909    0.00107085
0.0035      0.839916      0.592555     -0.433718   0.000850133
0.003      0.839916      0.592555     -0.433695   0.000726383
0.0025      0.839916      0.592555     -0.433753   0.000734015
0.002      0.839916      0.592555     -0.433741   0.000886328
0.0015      0.839916      0.592555     -0.433704   0.000916381
0.001      0.839916      0.592555     -0.433212   0.000905903
0.0005      0.839916      0.592555     -0.433802   0.000803865
