mu         sigma        energy           err         delta       acc/att    iterations
0.68          0.78     -0.331971    0.00198579           4.9        0.4961             1
0.68           0.8     -0.322991    0.00189375           4.9        0.5038             1
0.7           0.4      0.235588    0.00457169           3.4        0.4912            16
0.7          0.42     0.0730233    0.00394161           3.8        0.4906            12
0.7          0.44    -0.0521844    0.00381808             4        0.4963            14
0.7          0.46     -0.157367    0.00265123           4.2        0.4918             8
0.7          0.48     -0.232208    0.00217717           4.3        0.5046             7
0.7           0.5     -0.290077    0.00178474           4.5         0.497             5
0.7          0.52     -0.331887    0.00181497           4.7        0.4911             3
0.7          0.54     -0.361979    0.00127926           4.6        0.5032             4
0.7          0.56     -0.384572     0.0011578           4.9          0.49             1
0.7          0.58     -0.399759   0.000928446           4.8        0.4967             2
0.7           0.6     -0.406405   0.000747132           4.9        0.4938             1
0.7          0.62     -0.409548   0.000682897           4.9        0.5074             1
0.7          0.64     -0.407947   0.000828171           4.9        0.5045             1
0.7          0.66     -0.404171   0.000983785           4.9        0.5068             1
0.7          0.68     -0.397211    0.00106996           4.9        0.5015             1
0.7           0.7     -0.390279    0.00113416           4.9        0.5075             1
0.7          0.72       -0.3799    0.00143173           4.9        0.5058             1
0.7          0.74     -0.370235    0.00150293           4.9        0.5043             3
0.7          0.76     -0.352679    0.00186172           4.9        0.4963             1
0.7          0.78     -0.337065    0.00221106           4.9        0.5042             1
0.7           0.8     -0.320703    0.00238521           4.9         0.504             1
0.72           0.4      0.254318    0.00420877           3.1        0.4956            19
0.72          0.42     0.0903015    0.00355003           3.6        0.4964            14
0.72          0.44    -0.0418515    0.00343007           3.8        0.4988            12
0.72          0.46     -0.149506    0.00251255           4.2        0.4964             8
0.72          0.48     -0.231539    0.00251503           4.4        0.4946             6
0.72           0.5     -0.294284    0.00186692           4.5        0.5008             5
0.72          0.52     -0.341827    0.00147277           4.7        0.4966             3
0.72          0.54     -0.374184    0.00125398           4.8        0.4918             2
0.72          0.56     -0.399448    0.00107454           4.8        0.5051             2
0.72          0.58     -0.411195   0.000906863           4.9        0.5026             1
0.72           0.6     -0.419417   0.000775492           4.9        0.5078             1
0.72          0.62     -0.422756   0.000665027           4.9        0.5041             1
0.72          0.64     -0.419951   0.000840967             5        0.5061             2
0.72          0.66     -0.416588   0.000884366             5         0.501             2
0.72          0.68     -0.407659    0.00117758             5        0.5024             2
0.72           0.7     -0.398017    0.00109086             5        0.5074             2
0.72          0.72     -0.385508    0.00134569             5        0.5076             4
0.72          0.74     -0.371081    0.00163675             5        0.5022             2
0.72          0.76     -0.352238    0.00209129           4.9        0.5058             1
0.72          0.78     -0.340077    0.00205376           5.1        0.4998             3
0.72           0.8      -0.32276    0.00223496           4.9        0.5074             1
0.74           0.4      0.263304     0.0036247           2.3        0.4937            27
0.74          0.42     0.0963169    0.00361627           3.6         0.496            14
0.74          0.44    -0.0442461    0.00352211           3.9        0.4944            11
0.74          0.46     -0.143688    0.00297749           4.1         0.496            11
0.74          0.48     -0.229523    0.00243322           4.5        0.4909             5
0.74           0.5     -0.301698    0.00188991           4.7        0.4915             3
0.74          0.52     -0.345098    0.00164618           4.7        0.4947             3
0.74          0.54     -0.381761    0.00122524           4.9        0.4914             1
0.74          0.56     -0.404572    0.00115514           4.9        0.5011             1
0.74          0.58     -0.422929   0.000780419             5        0.4989             2
0.74           0.6     -0.430158   0.000750611           5.1         0.505             3
0.74          0.62     -0.430402   0.000658498           5.1        0.5035             3
0.74          0.64     -0.428811   0.000874071           5.1        0.5023             3
0.74          0.66     -0.423299   0.000871183           5.1         0.509             3
0.74          0.68     -0.413658    0.00144743           5.1         0.504             3
0.74           0.7     -0.402782     0.0012203           5.2        0.5031             4
0.74          0.72     -0.388226    0.00144693           5.1        0.5034             3
0.74          0.74     -0.371512     0.0019027           5.1        0.5098             3
0.74          0.76     -0.355088    0.00217324           5.2        0.5093             4
0.74          0.78     -0.336639    0.00238483           5.1        0.5079             3
0.74           0.8     -0.319097    0.00228173           5.3        0.4989             5
0.76           0.4      0.269239    0.00407665           2.2        0.5034            28
0.76          0.42      0.102436    0.00386499           3.1        0.4965            19
0.76          0.44    -0.0299863    0.00372386           3.7        0.5006            13
0.76          0.46     -0.146228    0.00276972           4.2        0.4972             8
0.76          0.48     -0.228361     0.0026115           4.4        0.4968             6
0.76           0.5     -0.298875    0.00178658           4.6        0.4959             4
0.76          0.52     -0.348493    0.00179379           4.8        0.4906             2
0.76          0.54     -0.385266    0.00116654           4.8         0.494             2
0.76          0.56      -0.41116    0.00116826           4.9         0.504             1
0.76          0.58     -0.427818   0.000899678           5.1        0.4907             3
0.76           0.6      -0.43607   0.000697321           5.1        0.4964             3
0.76          0.62     -0.439229   0.000718839           5.2        0.4978             4
0.76          0.64     -0.435394    0.00101864           5.2        0.5057             4
0.76          0.66     -0.428144   0.000939041           5.3        0.5003             5
0.76          0.68     -0.418833    0.00109535           5.3        0.5037             5
0.76           0.7     -0.403439    0.00150876           5.3        0.5042             5
0.76          0.72     -0.387669    0.00194723           5.2        0.5083             4
0.76          0.74      -0.37276    0.00176223           5.2         0.507             4
0.76          0.76     -0.356102    0.00224741           5.3        0.5057             5
0.76          0.78     -0.329811    0.00230966           5.3        0.5094             5
0.76           0.8     -0.306967    0.00234605           5.2          0.51             4
0.78           0.4      0.284334    0.00411817             2        0.5013            30
0.78          0.42      0.115792    0.00387073           3.3        0.4912            17
0.78          0.44    -0.0155395    0.00375887           3.6        0.4929            14
